学年,対象の漢字,問題,答え
小４,愛,親のアイジョウを注ぐ,愛情
小４,愛,アイケンと散歩する,愛犬
小４,愛,自然をアイする,愛
小４,案,アンナイ状が届く,案内
小４,案,メイアンが浮かぶ,名案
小４,案,新しいアンを出す,案
小４,以,百イジョウの数,以上
小４,以,イゼンからの友人,以前
小４,以,予想イガイな結果,以外
小４,衣,イフクをたたむ,衣服
小４,衣,舞台のイショウ,衣装
小４,衣,イショクジュウを整える,衣食住
小４,位,第一イになる,位
小４,位,ジュンイを発表する,順位
小４,位,イチを確認する,位置
小４,囲,まわりをカコむ,囲
小４,囲,イゴの対局を見る,囲碁
小４,囲,テストのハンイ,範囲
小４,胃,イの検査を受ける,胃
小４,胃,イチョウの調子が悪い,胃腸
小４,胃,イブクロを満たす,胃袋
小４,印,インカンを押す,印鑑
小４,印,メジルシをつける,目印
小４,印,プリントをインサツする,印刷
小４,英,エイゴを話す,英語
小４,英,エイコクへ旅立つ,英国
小４,英,エイカイワを習う,英会話
小４,栄,ハエある賞をもらう,栄
小４,栄,エイヨウのバランス,栄養
小４,栄,エイコウをつかむ,栄光
小４,塩,シオあじのスープ,塩味
小４,塩,ショクエン水を作る,食塩
小４,塩,エンブンを控える,塩分
小４,億,一オク円の宝くじ,億
小４,億,オクマン長者になる,億万
小４,億,人口が一オク人を超える,億
小４,加,熱をクワえる,加
小４,加,大会にサンカする,参加
小４,加,食品をカコウする,加工
小４,果,カジツを収穫する,果実
小４,果,ケッカを待つ,結果
小４,果,薬のコウカが出る,効果
小４,貨,コウカを貯金箱に入れる,硬貨
小４,貨,カモツ列車が通る,貨物
小４,貨,日本のツウカ,通貨
小４,課,カダイを提出する,課題
小４,課,ホウカ後に遊ぶ,放課
小４,課,ニッカの運動をする,日課
小４,芽,種からメが出る,芽
小４,芽,植物がハツガする,発芽
小４,芽,春の新メ,新芽
小４,改,ルールをアラタめる,改
小４,改,自転車をカイゾウする,改造
小４,改,品種をカイリョウする,改良
小４,械,キカイを動かす,機械
小４,械,キカイ体操の練習,器械
小４,械,キカイ的な作業,機械
小４,害,ガイチュウを駆除する,害虫
小４,害,コウガイ問題,公害
小４,害,ユウガイな物質,有害
小４,街,ガイロジュが並ぶ,街路
小４,街,マチカドで出会う,街角
小４,街,ショウテンガイを歩く,商店街
小４,各,カクチに伝わる,各地
小４,各,カクジで用意する,各自
小４,各,カクシュの手続き,各種
小４,覚,カンカクを研ぎ澄ます,感覚
小４,覚,漢字をオボえる,覚
小４,覚,ミカクを楽しむ,味覚
小４,完,絵がカンセイする,完成
小４,完,カンゼンな勝利,完全
小４,完,ミカンの大器,未完
小４,官,ケイカンに道を聞く,警官
小４,官,カンチョウの建物,官庁
小４,官,呼吸キカン,器官
小４,管,データをカンリする,管理
小４,管,スイカンを通る,水管
小４,管,ケッカンが浮き出る,血管
小４,関,カンケイを築く,関係
小４,関,カンシンを持つ,関心
小４,関,昔のセキショ,関所
小４,観,カンコウ地を巡る,観光
小４,観,植物のカンサツ,観察
小４,観,カンキャクが湧く,観客
小４,願,ネガい事をする,願
小４,願,ガンショを提出する,願書
小４,願,平和へのガンボウ,願望
小４,希,キボウを抱く,希望
小４,希,キショウな動物,希少
小４,希,空気がキハクだ,希薄
小４,季,キセツの変わり目,季節
小４,季,シキの変化,四季
小４,季,ウキと乾季,雨季
小４,紀,二十一セイキ,世紀
小４,紀,キゲン前の歴史,紀元
小４,紀,キコウ文を書く,紀行
小４,喜,プレゼントをヨロコぶ,喜
小４,喜,キゲキを見る,喜劇
小４,喜,大ヨロコびする,喜
小４,旗,コクキを掲げる,国旗
小４,旗,ハタじるしを立てる,旗
小４,旗,白ハタを振る,旗
小４,器,ガッキを演奏する,楽器
小４,器,ショッキを洗う,食器
小４,器,キグを使う,器具
小４,機,キカイを逃す,機会
小４,機,キキが迫る,危機
小４,機,ヒコウキに乗る,飛行機
小４,議,カイギを開く,会議
小４,議,国会のギイン,議員
小４,議,フシギな出来事,不思議
小４,求,助けをモトめる,求
小４,求,ヨウキュウに応える,要求
小４,求,キュウジン広告,求人
小４,泣,大声でナく,泣
小４,泣,ゴウキュウする,号泣
小４,泣,ナき声が聞こえる,泣
小４,救,命をスクう,救
小４,救,キュウキュウ車を呼ぶ,救急
小４,救,キュウジョに向かう,救助
小４,給,キュウショクを食べる,給食
小４,給,キュウリョウをもらう,給料
小４,給,水分をホキュウする,補給
小４,挙,センキョに行く,選挙
小４,挙,手をアげる,挙
小４,挙,キョシュで決める,挙手
小４,漁,ギョギョウが盛ん,漁業
小４,漁,リョウシの網,漁師
小４,漁,タイリョウを祝う,大漁
小４,共,キョウツウの趣味,共通
小４,共,キョウカンする,共感
小４,共,トモに行動する,共
小４,協,キョウリョクして働く,協力
小４,協,キョウカイを設立する,協会
小４,協,キョウドウ作業,協同
小４,鏡,カガミを見る,鏡
小４,鏡,ボウエンキョウをのぞく,望遠鏡
小４,鏡,キョウダイの前に座る,鏡台
小４,競,キョウソウに勝つ,競争
小４,競,ケイバ場に行く,競馬
小４,競,技をキソう,競
小４,極,ホッキョクの氷,北極
小４,極,ナンキョク大陸,南極
小４,極,道をキワめる,極
小４,訓,避難クンレン,訓練
小４,訓,漢字のクンヨみ,訓
小４,訓,キョウクンを得る,教訓
小４,軍,グンタイに所属する,軍隊
小４,軍,グンジンの規律,軍人
小４,軍,ショウグンの命令,将軍
小４,郡,グンブに住む,郡部
小４,郡,香川県木田グン,郡
小４,郡,グンチョウの役場,郡長
小４,径,円のチョッケイ,直径
小４,径,ハンケイを測る,半径
小４,径,森のショウケイ,小径
小４,型,オオガタのテレビ,大型
小４,型,コガタの車,小型
小４,型,カタグを抜く,型
小４,景,フウケイ画を描く,風景
小４,景,ケシキが良い,景色
小４,景,山のヤケイ,夜景
小４,芸,ゲイジュツ作品,芸術
小４,芸,エンゲイを楽しむ,園芸
小４,芸,シュゲイが得意だ,手芸
小４,欠,学校をケッセキする,欠席
小４,欠,ケッテンを直す,欠点
小４,欠,コップがカける,欠
小４,結,テストのケッカ,結果
小４,結,くつひもをムスぶ,結
小４,結,ケツロンを急ぐ,結論
小４,建,タテモノが並ぶ,建物
小４,建,ビルをケンセツする,建設
小４,建,ケンチク家になる,建築
小４,健,ケンコウに気をつける,健康
小４,健,ホケン室に行く,保健
小４,健,スコやかに育つ,健
小４,験,理科のジッケン,実験
小４,験,シケンを受ける,試験
小４,験,貴重なタイケン,体験
小４,固,カタい決意,固
小４,固,コテイ資産,固定
小４,固,コタイと液体,固体
小４,功,大セイコウを収める,成功
小４,功,コウセキをたたえる,功績
小４,功,コウロウ賞をもらう,功労
小４,好,コウブツを食べる,好物
小４,好,スきな果物,好
小４,好,コウツゴウな展開,好都合
小４,候,キコウが穏やかだ,気候
小４,候,テンコウが変わる,天候
小４,候,コウホを選ぶ,候補
小４,航,コウクウ機が飛ぶ,航空
小４,航,コウカイに出る,航海
