時代,問題内容,答え
身のまわりの物質,有機物の砂糖が燃えると，何ができるか。2つ答えよ。,二酸化炭素、水
身のまわりの物質,金属が電気をよく通す性質を何というか。,電気伝導性
身のまわりの物質,金属が熱をよく伝える性質を何というか。,熱伝導性
身のまわりの物質,金属を引っ張るとのびる性質を何というか。,延性
身のまわりの物質,金属をたたくと広がる性質を何というか。,展性
身のまわりの物質,発生させた酸素を集めるのに最適な集め方は何か。,水上置換法
身のまわりの物質,発生させた二酸化炭素を集めるのに適さない集め方は何か。,上方置換法
身のまわりの物質,空気・ニ酸化炭素のうち，密度がより大きいのはどちらか。,二酸化炭素
身のまわりの物質,二酸化炭素の水溶液は，酸性・中性・アルカリ性のどれか。,酸性
身のまわりの物質,二酸化炭素の水溶液に緑色のBTB溶液を加えると何色になるか。,黄色
身のまわりの物質,物質の中で最も密度が小さい気体は何か。,水素
身のまわりの物質,水素が空気中で燃えると，何ができるか。,水
身のまわりの物質,発生させたアンモニアを集めるのに最適な集め方は何か。,上方置換法
身のまわりの物質,アンモニアはどのようなにおいか。,刺激臭
身のまわりの物質,アンモニアの水溶液は，酸性・中性・アルカリ性のどれか。,アルカリ性
身のまわりの物質,アンモニアの水溶液に無色のフェノールフタレイン溶液を加えると何色になるか。,赤色
身のまわりの物質,溶液の質量は，溶質の質量と，何の質量の和か。,溶媒
身のまわりの物質,ミョウバン・硫酸銅の結晶のうち，正八面体はどちらか。,ミョウバン
身のまわりの物質,塩化ナトリウム・硝酸カリウムの結晶のうち，立方体はどちらか。,塩化ナトリウム
身のまわりの物質,硫酸銅．硝酸カリウムの結晶のうち，針状のものはどちらか。,硝酸カリウム
身のまわりの物質,固体を液体にするには，加熱．冷却のどちらが必要か。,加熱
身のまわりの物質,気体を液体にするには，加熱．冷却のどちらが必要か。,冷却
身のまわりの物質,一般に，固体・液体・気体のうち，密度が最も小さいのはどれか。,気体
身のまわりの物質,水が，液体から固体になるとき，体積はどうなるか。,大きくなる。
身のまわりの物質,水が，液体から固体になるとき，質量はどうなるか。,変化しない。
身のまわりの物質,水が，液体から固体になるとき，密度はどうなるか。,小さくなる。
身のまわりの物質,固体のろうは液体のろうに，浮くか，沈むか。,沈む。
身のまわりの物質,固体・液体・気体のうち，粒子がばらばらになって自由にとび回っているのはどれか。,気体。
身のまわりの物質,融点や沸点は，物質の質量や体積が変化するとどうなるか。,変化しない。
身のまわりの物質,沸点の違う液体の混合物を加熱したとき，先に気体となって出てくるのは，沸点が，高い物質・低い物質のどちらか。,低い物質
植物や動物の生活や種類,花のつくりで，おしベ・めしベ・花弁．がくのうち，一番内側についているのはどれか,めしべ
植物や動物の生活や種類,花のつくりで，おしベ ・めしベ・花弁．がくのうち， 一番外側についているのはどれか。,がく
植物や動物の生活や種類,虫によって花粉が運ばれる花を何というか。,虫媒花
植物や動物の生活や種類,風によって花粉が運ばれる花を何というか。,風媒花
植物や動物の生活や種類,双子葉類の葉脈はどのように通っているか。,網目状
植物や動物の生活や種類,双子葉類の根はどのような根からなるか。,主根と側根
植物や動物の生活や種類,単子葉類の葉脈はどのように通っているか。,平行
植物や動物の生活や種類,単子葉類の根はどのような根からなるか,ひげ根
植物や動物の生活や種類,根の先端付近にある小さな毛のようなものを何というか,根毛
植物や動物の生活や種類,マツの胚珠は，「むき出し」・「子房の中にある」のどちらか,むき出し
植物や動物の生活や種類,マツの雄花と雌花の表面に観察できる，うろこのようなつくりを何というか,りん片
植物や動物の生活や種類,マツの花で，花粉が入っている袋を何というか,花粉のう
植物や動物の生活や種類,マツの花で，りん片に胚珠があるのは雄花・雌花のどちらか。,雌花
植物や動物の生活や種類,イヌワラビの胞子のうは，どこについているか。,葉（の裏）
植物や動物の生活や種類,根，茎，葉の区別があるのは，シダ植物・コケ植物のどちらか。,シダ植物
植物や動物の生活や種類,コケ植物は，どこから水を吸収するか。,体の表面
植物や動物の生活や種類,花弁が1枚１枚離れている植物のなかまを何というか。,離弁花類
植物や動物の生活や種類,花弁が1つにくっついている植物のなかまを何というか。,合弁花類
植物や動物の生活や種類,イチョウ・スギ・エンドウのうち，被子植物はどれか。,エンドウ類
植物や動物の生活や種類,スギゴケ・スギ・イヌワラビのうち，シダ植物はどれか。,イヌワラビ
植物や動物の生活や種類,魚類の体の表面は何でおおわれていることが多いか。,うろこ
植物や動物の生活や種類,両生類の体の表面は何でおおわれていることが多いか。,湿った皮膚
植物や動物の生活や種類,は虫類の体の表面は何でおおわれていることが多いか。,うろこ
植物や動物の生活や種類,鳥類の体の表面は何でおおわれていることが多いか。,羽毛
植物や動物の生活や種類,哺乳類の体の表面は何でおおわれていることが多いか。,毛
植物や動物の生活や種類,両生類の幼生は，体のどこと皮膚で呼吸をするか。,えら
植物や動物の生活や種類,両生類の成体は，体のどこと皮膚で呼吸をするか,肺
植物や動物の生活や種類,犬歯が発達しているのは，草食動物・肉食動物のどちらか,肉食動物
植物や動物の生活や種類,節足動物は外骨格が大きくならないので，成長するときに外骨格を脱ぐ。このことを何というか。,脱皮
植物や動物の生活や種類,毘虫類は，何というところから体内に空気をとり入れるか,気門
身近な物理現象,鏡にうつる物体の像は，鏡の面に対して物体とどのような位置にあるか,対称
身近な物理現象,全身をうつすのに必要な鏡の縦の長さは，身長の何分の1の長さか,２分の１
身近な物理現象,光が異なる物質の中に垂直に入るとき，光はどのように進むか,直進する
身近な物理現象,空気中から水中やガラス中へ光が進むときの，入射角と屈折角の大小関係を，等号（＝）または不等号（＜，＞）を用いて表せ。,入射角＞屈折角
身近な物理現象,"水中やガラス中から空気中へ光が進むときの，入射角と屈折角の大小関係を，等号（＝）または不等号(<,>)を用いて表せ",入射角＜屈折角
身近な物理現象,一般に，太陽の光は何色の光といえるか。,白色
身近な物理現象,全反射が起こるのは，光が異なる物質へ進むときの入射角・屈折角のどちらが大きいからか。,屈折角
身近な物理現象,凸レンズのふくらみが大きいほど，焦点距離はどうなるか。,短くなる。
身近な物理現象,凸レンズの中心を通った光は，その後，どのように進むか。,直進する
身近な物理現象,焦点を通って凸レンズに入った光は，凸レンズを通ったあと，どのように進むか。,光軸と平行に進む。
身近な物理現象,実像は，物体と比べて上下左右が同じ向きか，逆向きか。,逆向き
身近な物理現象,虚像は，物体と比べて上下左右が同じ向きか，逆向きか。,同じ向き
身近な物理現象,鏡にうつる像は，実像・虚像のどちらか。,虚像
身近な物理現象,凸レンズを通して見える虚像は，物体と比べて大きいか， 小さいか。,大きい
身近な物理現象,音は，物体がどのようになることで生じるか。,振動すること
身近な物理現象,物体が振動すると，まわりの空気はどうなるか。,振動する。
身近な物理現象,容器の中にブザーを入れ，容器内の空気をぬいていくと，音は聞こえやすくなるか，聞こえにくくなるか。,聞こえにくくなる。
身近な物理現象,音が伝わる速さは光の速さに比べて，速いか，遅いか。,遅い。
身近な物理現象,音の大きさは，振幅・振動数のどちらで決まるか。,振幅
身近な物理現象,大きい音ほど，振幅は大きいか，小さいか,大きい
身近な物理現象,音の高さは，振幅・振動数のどちらで決まるか。,振動数
身近な物理現象,高い音ほど，振動数は多いか，少ないか。,多い
