歴史or地理,分野,問題,解答
歴史,人類の出現と文明,石を打ち欠いて作った打製石器を使用し，狩りや採集を行い，移動しながら生活した時代を何というか。,旧石器時代
歴史,人類の出現と文明,四大文明とはエジプト文明，メソポタミア文明，中国文明と何文明か。,インダス文明
歴史,人類の出現と文明,紀元前221年，初めて中国を統一したのはだれか。,始皇帝
歴史,人類の出現と文明,7世紀にムハンマドが開いた宗教を何というか。,イスラム教
歴史,日本の成り立ち,日本で今から約1万年前から始まり，磨製石器や土器を使用して，狩りや漁といった採集生活を中心として生活していた時代を何というか。,縄文時代
歴史,日本の成り立ち,紀元前4世紀ごろから約600年間続いた，稲作を行い，薄手で固い土器を使用していた時代を何というか。,弥生時代
歴史,日本の成り立ち,3世紀に邪馬台国を治めた女王で，239年に魏に使いを送り金印などを贈られた人物はだれか。,卑弥呼
歴史,日本の成り立ち,5世紀ころには東北地方南部から九州地方までの豪族を従えた，大和を中心とした地域の豪族による連合政権を何というか。,大和政権
歴史,古代国家の形成,593年に摂政となり，十七条の憲法や冠位十二階を定めて，蘇我氏氏とともに天皇中心の国をつくろうとした人物はだれか。,聖徳太子
歴史,古代国家の形成,645年，中大兄皇子らが蘇我氏を倒して始めた政治改革を何というか。,大化の改新
歴史,古代国家の形成,戸籍にもとづいて， 6歳以上のすべての人に口分田をあたえ，その人が死ねぱ国に返させた制度を何というか。,班田収授法
歴史,古代国家の形成,天智天皇の死後，天皇の位をめぐり天皇の子と天皇の弟が争った戦いを何というか。,壬申の乱
歴史,古代国家の形成,701年，唐の律令にならって制定された法律を何というか。,大宝律令
歴史,古代国家の形成,710年，唐の都にならって，奈良につくられた新しい都を何というか。,平城京
歴史,古代国家の形成,743年，朝廷が出した，口分田の不足を補うため，開墾した七地を私有することを認めた法令を何というか。,墾田永年私財法
歴史,古代国家の歩み,794年，桓武天皇が政治の立て直しをはかって移した都を何というか。,平安京
歴史,古代国家の歩み,10世紀中ごろ，関東地方で反乱をおこした人物はだれか。,平将門
歴史,古代国家の歩み,1016年，摂政となり， 4人の娘を天皇のきさきとして政治の実権を握った人物はだれか。,藤原道長
歴史,古代国家の歩み,1086年，天皇の位を譲ったあと，院政を始めた人物はだれか。,白河上皇
歴史,古代国家の歩み,保元の乱・平治の乱に勝利し．武士として初めて太政大臣となって，政治の実権を握った人物はだれか。,平清盛
歴史,鎌倉幕府,1185年，源頼朝が朝廷から，地方の国ごとに設置することを認められた役職は何か。,守護
歴史,鎌倉幕府,1192年に源頼朝が就いた役職を何というか。,征夷大将軍
歴史,鎌倉幕府,政権を朝廷に取り戻そうとして承久の乱をおこしたが，幕府の大軍に敗れ，隠岐に流された上皇はだれか。,後烏羽上皇
歴史,鎌倉幕府,1232年，武家の慣習などをまとめて御成敗式目を定めた人物はだれか。,北条泰時
歴史,鎌倉幕府,1274年と1281年の2度にわたり， 日本に大軍を送ってきた元の皇帝はだれか,フビライ・ハン
歴史,鎌倉幕府,1297年，生活が苦しくなった御家人を救うため幕府が出した法令を何というか。,永仁の徳政令
歴史,室町幕府と戦国大名,鎌倉幕府が滅びたあと，天皇・公家中心の建武の新政を始めた人物はだれか。,後醍醐天皇
歴史,室町幕府と戦国大名,1338年，征夷大将軍となり室町幕府を開いた人物はだれか。,足利尊氏
歴史,室町幕府と戦国大名,14世紀後半，元に代わり漢民族が建国した国を何というか。,明
歴史,室町幕府と戦国大名,室町幕府の3代将軍で，倭寇の取り締まりを求めてきた中国と国交を回復し，勘合貿易を始めた人物はだれか。,足利義満
歴史,室町幕府と戦国大名,鎌倉，室町時代に，物資を馬にのせて運んだ運送業者を何というか。,馬借
歴史,室町幕府と戦国大名,1467年から京都を中心に11年間続いた戦乱を何というか。,応仁の乱
歴史,室町幕府と戦国大名,戦国時代に現れ，実力によって領国を支配した大名を何というか。,戦国大名
歴史,世界の動きと全国統一,11~13世紀にかけて，イスラム教徒から聖地エルサレムを取り戻すために派遣された遠征軍を何というか。,十字軍
歴史,世界の動きと全国統一,14世紀にヨーロソパでおこった，ギリシャやローマの文化を学び，人間性を重視する運動を何というか。,ルネサンス（文芸復興）
歴史,世界の動きと全国統一,1543年，種子島に漂着した中国船に乗っていたポルトガル人が日本に伝え，後の戦いに大きな影響をあたえた武器は何か。,鉄砲
歴史,世界の動きと全国統一,1549年に鹿児島に上陸してキリスト教を伝えたイエズス会の宣教師はだれか。,フランシスコ・ザビエル
歴史,世界の動きと全国統一,尾張出身の戦国大名で，安土城を築いて天下統一を進め，本能寺の変で家臣の明智光秀に攻められて自害した人物はだれか。,織田信長
歴史,世界の動きと全国統一,織田信長のあとをついで天下統一を進め，検地，刀狩などを行って身分制度のもとを固めた人物はだれか。,豊臣秀吉
歴史,世界の動きと全国統一,16世紀中ごろから行われた，ポルトガル人・スペイン人との貿易を何というか。,南蛮貿易
歴史,江戸幕府の成立と鎖国,関ケ原の戦いに勝利したあと， 1603年に征夷大将軍となって江戸に幕府を開いた人物はだれか。,徳川家康
歴史,江戸幕府の成立と鎖国,大名のうち，徳川氏の一門の大名を何というか。,親藩
歴史,江戸幕府の成立と鎖国,江戸幕府の3代将軍で，武家諸法度に参勤交代を制度化したり，鎖国を完成したりした人物はだれか。,徳川家光
歴史,江戸幕府の成立と鎖国,江戸幕府が禁教を徹底し，貿易を統制するために行った政策を何というか。,鎖国
歴史,江戸幕府の成立と鎖国,江戸時代，九州と朝鮮の問に位置し，朝鮮との貿易を独占した藩を何というか。,対馬藩
歴史,産業の発展,江戸時代，三都とよばれた都市は，江戸，大阪ともう1つはどこか。,京都
歴史,産業の発展,江戸幕府5代将軍で，生類憐みの令をだしたのはだれか。,徳川綱吉
歴史,産業の発展,江戸時代の中ごろからさかんに栽培されるようになった，売ることを目的につくられる作物を何というか。,商品作物
歴史,幕政の改革,江戸幕府8代将軍で，享保の改革を行った人物はだれか。,徳川吉宗
歴史,幕政の改革,老中として政治の実権を握り，株仲間．長崎貿易を奨励するなど積極的な経済政策を進めた人物はだれか。,田沼意次
歴史,幕政の改革,老中として寛政の改革を行った人物はだれか。,松平定信
歴史,幕政の改革,ききんにより生活が苦しくなった都市の住民が，米の安売りなどを求めて大商人などを襲ったことを何というか。,打ちこわし
歴史,幕政の改革,1825年，幕府が出した鎮国を守るための法令を何というか。,異国船（外国船）打払令
歴史,幕政の改革,1837年に反乱をおこしたもと大阪町奉行所の役人はだれか。,大塩平八郎
