id,question,answer_raw,type,grade,category
1,水素の元素記号は？,H,element,2,元素記号
2,ヘリウムの元素記号は？,He,element,2,元素記号
3,リチウムの元素記号は？,Li,element,2,元素記号
4,ベリリウムの元素記号は？,Be,element,2,元素記号
5,ホウ素の元素記号は？,B,element,2,元素記号
6,炭素の元素記号は？,C,element,2,元素記号
7,窒素の元素記号は？,N,element,2,元素記号
8,酸素の元素記号は？,O,element,2,元素記号
9,フッ素の元素記号は？,F,element,2,元素記号
10,ネオンの元素記号は？,Ne,element,2,元素記号
11,ナトリウムの元素記号は？,Na,element,2,元素記号
12,マグネシウムの元素記号は？,Mg,element,2,元素記号
13,アルミニウムの元素記号は？,Al,element,2,元素記号
14,ケイ素の元素記号は？,Si,element,2,元素記号
15,リンの元素記号は？,P,element,2,元素記号
16,硫黄の元素記号は？,S,element,2,元素記号
17,塩素の元素記号は？,Cl,element,2,元素記号
18,アルゴンの元素記号は？,Ar,element,2,元素記号
19,カリウムの元素記号は？,K,element,2,元素記号
20,カルシウムの元素記号は？,Ca,element,2,元素記号
21,銅の元素記号は？,Cu,element,2,元素記号
22,亜鉛の元素記号は？,Zn,element,2,元素記号
23,銀の元素記号は？,Ag,element,2,元素記号
24,鉄の元素記号は？,Fe,element,2,元素記号
25,スズの元素記号は？,Sn,element,2,元素記号
26,バリウムの元素記号は？,Ba,element,2,元素記号
27,白金の元素記号は？,Pt,element,2,元素記号
28,金の元素記号は？,Au,element,2,元素記号
29,水銀の元素記号は？,Hg,element,2,元素記号
30,鉛の元素記号は？,Pb,element,2,元素記号
31,水素イオンのイオン式は？,H^+,ion,3,陽イオン
32,ナトリウムイオンのイオン式は？,Na^+,ion,3,陽イオン
33,銀イオンのイオン式は？,Ag^+,ion,3,陽イオン
34,銅イオンのイオン式は？,Cu^2^+,ion,3,陽イオン
35,亜鉛イオンのイオン式は？,Zn^2^+,ion,3,陽イオン
36,マグネシウムイオンのイオン式は？,Mg^2^+,ion,3,陽イオン
37,バリウムイオンのイオン式は？,Ba^2^+,ion,3,陽イオン
38,アンモニウムイオンのイオン式は？,NH4^+,ion,3,陽イオン
39,カルシウムイオンのイオン式は？,Ca^2^+,ion,3,陽イオン
40,カリウムイオンのイオン式は？,K^+,ion,3,陽イオン
41,塩化物イオンのイオン式は？,Cl^-,ion,3,陰イオン
42,硫化物イオンのイオン式は？,S^2^-,ion,3,陰イオン
43,水酸化物イオンのイオン式は？,OH^-,ion,3,陰イオン
44,硫酸イオンのイオン式は？,SO4^2^-,ion,3,陰イオン
45,硝酸イオンのイオン式は？,NO3^-,ion,3,陰イオン
46,炭酸イオンのイオン式は？,CO3^2^-,ion,3,陰イオン
47,水の化学式は？,H2O,formula,2,化合物
48,二酸化炭素の化学式は？,CO2,formula,2,化合物
49,アンモニアの化学式は？,NH3,formula,2,化合物
50,塩化水素の化学式は？,HCl,formula,2,化合物
51,硫酸の化学式は？,H2SO4,formula,2,化合物
52,塩化ナトリウムの化学式は？,NaCl,formula,2,化合物
53,酸化銅の化学式は？,CuO,formula,2,化合物
54,塩化銅の化学式は？,CuCl2,formula,2,化合物
55,酸化銀の化学式は？,Ag2O,formula,2,化合物
56,酸化マグネシウムの化学式は？,MgO,formula,2,化合物
57,過酸化水素の化学式は？,H2O2,formula,2,化合物
58,硫化水素の化学式は？,H2S,formula,2,化合物
59,硫化鉄の化学式は？,FeS,formula,2,化合物
60,硫化銅の化学式は？,CuS,formula,2,化合物
61,酢酸の化学式は？,CH3COOH,formula,2,化合物
62,水酸化ナトリウムの化学式は？,NaOH,formula,2,化合物
63,水酸化カリウムの化学式は？,KOH,formula,2,化合物
64,水酸化カルシウムの化学式は？,Ca(OH)2,formula,2,化合物
65,水酸化バリウムの化学式は？,Ba(OH)2,formula,2,化合物
66,硫酸銅の化学式は？,CuSO4,formula,2,化合物
67,硫酸バリウムの化学式は？,BaSO4,formula,2,化合物
68,炭酸水素ナトリウムの化学式は？,NaHCO3,formula,2,化合物
69,炭酸ナトリウムの化学式は？,Na2CO3,formula,2,化合物
70,硝酸の化学式は？,HNO3,formula,2,化合物
71,水素の化学式は？,H2,formula,2,単体
72,酸素の化学式は？,O2,formula,2,単体
73,硫黄の化学式は？,S,formula,2,単体
74,窒素の化学式は？,N2,formula,2,単体
75,塩素の化学式は？,Cl2,formula,2,単体
76,炭素の化学式は？,C,formula,2,単体
77,マグネシウムの化学式は？,Mg,formula,2,単体
78,バリウムの化学式は？,Ba,formula,2,単体
79,銅の化学式は？,Cu,formula,2,単体
80,鉄の化学式は？,Fe,formula,2,単体
81,銀の化学式は？,Ag,formula,2,単体
