古文,現代語訳
あからさまなり,ちょっと ／ 急だ
あだなり,はかない ／ 浮気だ
かりそめなり,一時的だ ／ いいかげんだ
おろかなり,いいかげんだ ／ 愚かだ
なのめなり,いいかげんだ ／ 平凡だ ／ 並一通りだ
なめげなり,無礼だ
まめなり,誠実だ ／ 実用的な
まめまめし,実用的だ ／ 真面目だ
あさまし,意外だ ／ 情けない
おどろおどろし,大げさだ ／ 気味が悪い
めざまし,興ざめた ／ 思いのほか素晴らしい
すさまじ,興ざめた ／ 薄情だ
すごし,もの寂しい ／ ぞっとするほど素晴らしい
やさし,つらい ／ 優美だ ／ けなげだ
すきずきし,風情がある ／ 好色めいている
おもしろし,風情がある
あはれなり,しみじみと情趣深い ／ 気の毒だ ／ 趣深い
をかし,趣がある ／ かわいい ／ 妙だ
かなし,かわいい ／ 悲しい
うつくし,かわいい ／ きれいだ
ありがたし,めったにない ／ （めったにないほど）立派だ
かたし,難しい ／ めったにない
めづらし,すばらしい ／ 愛らしい
あたらし,惜しい ／ 新しい
あやし,みすぼらしい ／ 不思議だ ／ 身分が低い
いやし,身分が低い
はづかし,立派だ ／ 恥ずかしい
まばゆし,恥ずかしい ／ まぶしい
ねたし,憎らしい ／ ねたましい
にくし,無愛想だ ／ 憎らしい ／ ぶかっこうだ
ふつつかなり,ぶかっこうだ ／ どっしりしている
あながちなり,強引だ ／ 必ずしも（〜ない）
かたくななり,頑固だ ／ みっともない
あつし,病気が重い
なやまし,気分が悪い ／ 病気がちだ
いたはし,気の毒だ ／ 愛しい
いとほし,気の毒だ ／ 愛しい
ふびんなり,不都合だ ／ 気の毒だ
うとし,疎遠だ
うとまし,気味が悪い ／ 嫌だ
なつかし,親しみやすい ／ 心が引かれる
むつまじ,親しい
うるはし,整って美しい ／ 筋が通っている
うるさし,賢い／立派だ ／ わずらわしい
ことわりなり,もっともだ
いたづらなり,退屈だ ／ 役に立たない
さうざうし,さびしい
ただなり,むなしい ／ 何でもない
そらなり,うつろだ ／ いいかげんだ
さかし,利口ぶっている ／ 賢い
かしこし,恐れ多い ／ すぐれている
くるし,差し障りがある
つつつまし,遠慮される ／ 気恥ずかしい
いたし,はなはだしい ／ すばらしい
めでたし,すばらしい
わびし,さびしい ／ つらい
つらし,薄情だ ／ 耐え難い
すくよかなり,しっかりしている ／ そっけなさを感じる
うしろめたし,気がかりだ
やすし,心が穏やかだ ／ 簡単である
はかばかし,しっかりしている ／ はっきりしている
さすがなり,とはいってもやはり
さらなり,言うまでもない
あいなし,つまらない ／ 道理に合わない
あぢきなし,つまらない ／ 道理に合わない
あやなし,はっきりしない ／ 道理に合わない
わりなし,道理に合わない ／ つらい／耐え難い
ろんなし（論無し）,言うまでもない
いはむかたなし,言いようがない ／ この上ない
いふかひなし,どうしようもない ／ つまらない
えうなし,つまらない ／ 必要がない
せんなし,つまらない ／ 無意味だ
はかなし,つまらない ／ 頼りない
よしなし,つまらない ／ 風情がない
ずちなし,どうしようもない
すべなし,どうしようもない
せむかたなし,どうしようもない
こころづきなし,気にくわない
つきなし,ふさわしくない ／ はっきりしない
にげなし,ふさわしくない
さうなし（左右無し）,ためらわない ／ どうとも決まらない
さうなし（双無し）,並ぶものがない
になし,この上ない
やむごとなし,高貴だ ／ 捨ててはおけない
うらなし（心無し）,ざっくばらんだ ／ 気づかいがない
おもなし,恥知らずだ ／ 面目ない
くまなし（隈無し）,かげりがない ／ 行き届いている
こころなし,情趣がない ／ 思いやりがない
こころもとなし,じれったい ／ 気がかりだ
そこはかとなし,とりとめがない ／ 場所がはっきりしない
うつつなし,正気を失っている ／ 夢心地だ
つたなし,運が悪い ／ 未熟だ
つれなし,薄情だ ／ 平気な様子だ
びんなし,不都合だ ／ 気の毒だ
まさなし,不都合だ ／ 意外だ
ほいなし,残念だ ／ 物足りない
あへなし,はりあいがない ／ どうしようもない
いとけなし,幼い ／ 未熟だ
いはけなし,幼い
おとなし（大人し）,分別がある ／ 大人びている
おぼけなし,恐れ多い ／ 身の程知らずだ
かたじけなし,恐れ多い ／ 恥ずかしい
さがなし,やんちゃだ ／ 意地が悪い
こちなし（骨なし）,無風流だ ／ 無作法だ
いぎたなし（寝汚し）,寝坊だ
しどけなし,だらしない ／ くつろいでいる
はしたなし,中途半端だ ／ そっけない
ゆくりなし,突然だ
おぼつかなし,気がかりだ ／ はっきりしない
こよなし,この上ない ／ 非常に...
よし,身分が高い ／ とても良い
よろし,まずまずだ ／ ふさわしい
わろし,良くない ／ 下手だ
あし,憎い ／ 悪い
きよげなり,美しい ／ きちんとしている
きよらなり,上品で美しい
またし（全し）,完全だ ／ 無事である
まだし,未熟だ ／ まだ早い
かたはなり,不完全だ
かたほなり,不完全だ ／ 不十分だ
こころうし,つらい ／ 嫌だ
うし,つらい ／ 嫌だ ／ 冷たい
こころぐるし,気の毒だ ／ つらい
こころにくし,奥ゆかしい
こころやまし,不愉快だ
こころやすし,安心だ ／ 親しい
めやすし,見苦しくない ／ 身分が低い
うしろやすし,安心だ ／ 頼もしい
いぶかし,気がかりだ ／ はっきり知りたい
いぶせし,気がかりだ ／ 気が晴れない
あく,満足する ／ 嫌になる
こころゆく,満足する ／ 気が晴れる
かなふ,望みが叶う ／ 適合する
なぐさむ,心が晴れる ／ 慰める
おこたる,病気が治る ／ なまける
なやむ,病気になる ／ 困る／悩む
わづらふ,病気になる ／ 苦しむ／悩む
あしらふ,もてなす
こしらふ,機嫌をとる ／ 説得する
あるじす,もてなす
もてなす,扱う ／ ふるまう
かづく,褒美をいただく ／ かぶせる
かまふ,準備する ／ 組み立てる
まうく,準備する ／ 得る
いそぐ,準備する ／ 急用がある
かいまみる,（男性が）のぞき見る
あふ,結婚する ／ 戦う
しる,治める ／ 交際する
むすぶ,約束する ／ （氷や露が）結ぶ
