古文,現代語訳
おどろく（驚く）,(はっと)気づく ／ (ふと)目を覚ます
ののしる,大騒ぎする／大声で騒ぐ ／ 評判になる／うわさになる
ねんず（念ず）,(心の中で)祈る ／ がまんする
おぼゆ（覚ゆ）,(自然に)思われる ／ 似る／似ている ／ 思い出す ／ (人から)思われる
しのぶ（忍ぶ）,がまんする／恋心を包み隠す ／ 人目を避ける
ながむ（眺む）,物思いに沈む／(もの思いに沈んで)ぼんやり見る
みゆ（見ゆ）,(自然と)見える／思われる ／ 姿を見せる／現れる ／ (人から)見られる／見せる／結婚する
あふ,結婚する／男女が契る
ゐる（居る）,座る／動かずにいる ／ ～ている
ありく（歩く）,動き回る／出歩く／外出する ／ (～して)まわる／(～し)続ける
あく（飽く）,満足する ／ 満ち足りない／いやにならない
うつくし,かわいらしい ／ 立派だ
かなし（愛し）,いとしい ／ かわいい
いみじ,とても／たいそう ／ とてもすばらしい／とてもうれしい ／ とても悲しい／ひどい／大変だ
をかし,趣がある／おもしろい ／ 美しい／かわいい ／ 滑稽だ
よし,よい／すぐれている ／ 身分が高く教養がある
あやし（奇し・怪し/賤し）,不思議だ／変だ ／ けしからん／よくない ／ 身分が低い／卑しい ／ 粗末だ／みすぼらしい
おとなし（大人し）,大人らしい／大人びている ／ 年配だ／主だっている ／ 思慮分別がある
ゆかし,見たい ／ 聞きたい ／ 知りたい
おぼつかなし,ぼんやりしている／はっきりしない ／ 気がかりだ／不安だ ／ 待ち遠しい／もどかしい
ありがたし（有り難し）,めったにない ／ 立派だ／すぐれている
めでたし,すばらしい ／ 立派だ
くちをし（口惜し）,残念だ ／ 期待はずれだ
うし,つらい ／ いやだ
わびし,つらい ／ やりきれない ／ 興ざめだ／もの足りない
あはれなり,心底しみじみと感じられる
おろかなり（疎かなり）,おろそかだ／いい加減だ ／ 言葉では言い尽くせない
ねんごろなり（懇ろなり）,熱心だ／丁寧だ ／ 親しい／親密だ
つれづれなり（徒然なり）,(することもなく)退屈だ／所在ない／手持ちぶさただ ／ (一人もの思いに沈み)しんみりともの寂しい
いたづらなり（徒らなり）,むだだ／役に立たない ／ 手持ちぶさたで暇だ
としごろ（年ごろ）,長年 ／ 数年(の間)
かたち（形･容貌）,容貌 ／ 人の姿
かげ（影）,光 ／ 姿／形
ほい（本意）,かねてからの願い ／ 本来の目的／宿願
ものがたり（物語）,話／雑談／世間話 ／ 物語
ふみ（文・書）,手紙 ／ 漢詩／漢籍／学問
ほど（程）,時／時分／間 ／ あたり／距離／長さ／広さ ／ 身分／年齢／間柄 ／ 様子／程度
なさけ（情け）,思いやり／人情 ／ 男女間の情愛／恋情 ／ 情趣を解する心／風流心
ちぎり（契り）,約束 ／ 前世からの因縁／宿縁 ／ 男女の仲／逢瀬
けしき（気色）,様子／そぶり ／ 機嫌 ／ 思い／意向
いと,とても／たいそう ／ たいして（～ない）
あまた,たくさん ／ 数多く
げに,なるほど ／ 本当に
なほ,やはり
やがて,そのまま ／ すぐに
やうやう,だんだん ／ しだいに
え～打消,～できない
な～そ,～(する)な ／ ～(し)てくれるな
さらに～打消,まったく～ない ／ 決して～ない
いかで・いかでか,どうして ／ どうして(～か／いや／～ない) ／ どうにかして
にほふ（匂ふ）,美しく照り映える ／ 美しく輝く
うつろふ（移ろふ）,色が変わる／紅葉する／散る ／ (心が)移る／心変わりする
いぬ（往ぬ・去ぬ）,行く／去る ／ (時が)過ぎ去る
あそぶ（遊ばす）,管弦を楽しむ
めづ（愛づ）,感嘆する／ほめる／たたえる ／ 愛する／かわいがる／好む
ならふ（慣らふ、馴らふ）,慣れる／慣習となる ／ 親しむ／なじむ
かしづく,大切に養育する ／ 大切に世話をする
たのむ（頼む）,あてにする／期待する ／ あてにさせる／期待させる
