英単語,発音,品詞,日本語訳,細かい発音,単元
I,[アイ],代,私は,[I（アイ）],DAY1
as,[アズ],前,～として,[a（ア）][s（ズ）],DAY1
as,[アズ],接,～のように/～なので/～する時,[a（ア）][s（ズ）],DAY1
at,[アットゥ],前,～で/～に,[a（ア）][t（トゥ）],DAY1
if,[イフ],接,もし～なら,[i（イ）][f（フ）],DAY1
in,[イン],前,～で/～の中に,[i（イ）][n（ン）],DAY1
it,[イットゥ],代,それは/それを/それに,[i（イ）][t（トゥ）],DAY1
on,[オン],前,～の上に,[o（オ）][n（ン）],DAY1
up,[アップ],副,上に,[u（ア）][p（プ）],DAY1
us,[アス],代,私たちを/私たちに,[u（ア）][s（ス）],DAY1
"a, an",[ア] [アン],冠,１つの/１人の,[a（ア）][n（ン）],DAY1
add,[アドゥ],動,加える/足す,[a（ア）][dd（ドゥ）],DAY2
all,[オール],代,すべて,[al（オー）][l（ル）],DAY2
all,[オール],形,すべての,[al（オー）][l（ル）],DAY2
and,[アンドゥ],接,と/て/そして,[a（ア）][n（ン）][d（ドゥ）],DAY2
ask,[アスク],動,たずねる/質問する/頼む,[a（ア）][s（ス）][k（ク）],DAY2
bad,[バッドゥ],形,悪い, [ba（バ）][d（ドゥ）]   ※ [b(ブ)]  [a(ア)],DAY2
bag,[バッグ],名,かばん, [ba（バ）][g（グ）]  ※ [b(ブ)]  [a(ア)],DAY2
bed,[ベッドゥ],名,ベッド, [be（ベ）][d（ドゥ）]  ※ [b(ブ)]  [e(エ)],DAY2
big,[ビッグ],形,大きい/大きな, [bi（ビ）][g（グ）]  ※ [b(ブ)]  [i(イ)],DAY2
bus,[バス],名,バス,[bu（バ）][s（ス）]  ※ [b(ブ)]  [u(ア)],DAY2
but,[バットゥ],接,～だが/しかし,[bu（バ）][t（トゥ）],DAY2
can,[キャン],助,～できる/～しても良い,[ca（キャ）][n（ン）]  ※ [c(ク)]  [a(ア)],DAY3
cap,[キャップ],名,ぼうし/キャップ,[ca（キャ）][p（プ）],DAY3
cat,[キャットゥ],名,ネコ,[ca（キャ）][t（トゥ）],DAY3
cup,[カップ],名,カップ,[cu（カ）][p（プ）]  ※ [c(ク)]  [u(ア)],DAY3
cut,[カットゥ],動,切る,[cu（カ）][t（トゥ）],DAY3
dog,[ドッグ],名,犬,[do（ド）][g（グ）]  ※ [d(ドゥ)]  [o(オ)],DAY3
egg,[エッグ],名,卵,[e（エ）][gg（グ）],DAY3
end,[エンドゥ],名,終わり,[e（エ）][n（ン）][d（ドゥ）],DAY3
end,[エンドゥ],動,終わる/終える,[e（エ）][n（ン）][d（ドゥ）],DAY3
fan,[ファン],名,ファン/扇風機/うちわ,[fa（ファ）][n（ン）]  ※ [f(フ)]  [a(ア)],DAY3
fun,[ファン],名,楽しみ,[fu（ファ）][n（ン）]  ※ [f(フ)]  [u(ア)],DAY3
get,[ゲットゥ],動,手に入れる/～になる,[ge（ゲ）][t（トゥ）]  ※ [g(グ)]  [e(エ)],DAY4
hat,[ハットゥ],名,ぼうし,[ha（ハ）][t（トゥ）]  ※ [h(フ)]  [a(ア)],DAY4
him,[ヒム],代,彼を/彼に,[hi（ヒ）][m（ム）]  ※ [h(フ)]  [i(イ)],DAY4
his,[ヒズ],形,彼の,[hi（ヒ）][s（ズ）],DAY4
his,[ヒズ],代,彼のもの,[hi（ヒ）][s（ズ）],DAY4
hit,[ヒットゥ],動,打つ/たたく,[hi（ヒ）][t（トゥ）],DAY4
hot,[ホットゥ],形,熱い/暑い,[ho（ホ）][t（トゥ）]  ※ [h(フ)]  [o(オ)],DAY4
its,[イッツ],形,それの,[i（イ）][ts（ツ）],DAY4
job,[ジョブ],名,仕事/職,[jo（ジョ）][b（ブ）]  ※ [j(ジュ)]  [o(オ)],DAY4
leg,[レッグ],名,脚,[le（レ）][g（グ）]  ※ [l(ル)]  [e(エ)],DAY4
let,[レットゥ],動,～させる/許可する,[le（レ）][t（トゥ）],DAY4
lip,[リップ],名,くちびる,[li（リ）][p（プ）]  ※ [l(ル)]  [i(イ)],DAY5
man,[マン],名,男性/男の人,[ma（マ）][n（ン）]  ※ [m(ム)]  [a(ア)],DAY5
map,[マップ],名,地図,[ma（マ）][p（プ）],DAY5
not,[ノットゥ],副,～でない,[no（ノ）][t（トゥ）]  ※ [n(ヌ)]  [o(オ)],DAY5
pen,[ペン],名,ペン,[pe（ペ）][n（ン）]  ※ [p(プ)]  [e(エ)],DAY5
