古文,現代語訳
あく,十分満足する
おどろく,目を覚ます／はっと気づく
ながむ,物思いに沈む／吟じる
ねんず,祈る／我慢する
わぶ,思い嘆く／落ちぶれる
あくがる,離れさまよう／落ち着かない
とぶらふ,見舞う／たずねる
ののしる,大声で騒ぐ／評判が高い
ありく,歩き回る／動き回る
まもる,じっと見つめる／世話をする
わづらふ,苦しむ／悩む
なやむ,苦しむ／病気になる
おこたる,病気が治る／中断する
あきらむ,明らかにする
かなし,かわいい／心ひかれる
こころにくし,奥ゆかしい
うつくし,かわいらしい／立派だ
めでたし,すばらしい／見事だ
なまめかし,優雅だ／優美だ
ありがたし,めったにない
はづかし,立派だ／気後れする
やさし,恥ずかしい
めずらし,すばらしい／めったにない
なつかし,親しみが持てる／心ひかれる
おとなし,おとなびている／主だっている
さうざうし,物足りない／寂しい
あぢきなし,おもしろくない／どうにもならない
すさまじ,殺風景だ／興ざめだ
あやし,不思議だ／身分が低い
あさまし,驚きあきれるほどだ／嘆きかわしい
つらし,薄情だ／恨めしい
こころぐるし,つらい／気の毒だ
わびし,つらい／つまらない
あたらし,惜しい／すばらしい
うしろめたし,気がかりだ／心配だ
むつかし,不快だ／恐ろしい
あからさまなり,ちょっと／ほんのしばらく
おろかなり,いい加減だ／不十分だ
いたづらなり,無駄だ／むなしい
て,筆跡／手段
うへ,天皇
ついで,順序／機会
やう,様子／理由
けしき,様子／有様
としごろ,長年／数年来
おと,頼り／うわさ
かげ,光／姿
つとめて,早朝／翌朝
さすがに,そうは言うもののやはり
なほ,やはり／いっそう
やうやう,次第に／やっと
そこら,たくさん／たいそう
わざと,正式に／わざわざ
やがて,そのまま／すぐに
すなはち,すぐに／瞬間
みる,結婚する／世話をする
あふ,結婚する／我慢する
よばふ,求婚する／呼び続ける
ときめく,寵愛を受ける
にほふ,美しく輝く／美しく咲く
うつろふ,色あせる／移り変わる
やつる,地味な服装になる／目立たぬようになる
おこなふ,勤行する／修行する
かしづく,大切に育てる
あそぶ,管弦などの遊びをする
おくる,先立たれる／劣る
いむ,忌み嫌う／不吉だ
しほたる,海水に濡れてしずくが垂れる／濡れる
はつ,終わる
やむごとなし,たいそう尊い／やむをえない
すきずきし,好色めいている／風流だ
おほけなし,身分不相応だ／恐れ多い
おぼつかなし,はっきりしない／心細い
かごとがまし,恨みがましい様子だ
いまめかし,当世風だ／現代風だ
そこはかとなし,とりとめもない／どこということもない
くちをし,残念だ／つまらない
きよらなり,上品で美しい／華美だ
つれづれなり,所在ない／退屈だ
むげなり,全くひどい／身分が低い
ふみ,書物／手紙
おほやけ,朝廷／天皇
くもゐ,宮中／空
みやび,風雅／宮廷風
あいぎやう,かわいらしさ／思いやり
ざえ,学問／学才
みち,道理／政道
うしろみ,後見人
いろ,顔色／風流
なさけ,風流心／思いやり
こころ,気持ち／感情
ちぎり,約束／前世からの因縁
ほい,本来の志／真意
よ,現世／夫婦の仲
ゐる,すわる／連れる
ぐす,備える／備わる
いそぐ,準備する
まうく,用意する／準備する
ねぶ,大人びる／年をとる
およすく,成長する／大人びる
やる,行かせる／送る
おこす,送ってくる／よこす
はかなし,頼りない／ちょっとした
はかばかし,はっきりしている／しっかりしている
