テキスト,ページ,問題,答え
学習漢字ノート中１,p3,ロウカが広い,廊下
学習漢字ノート中１,p3,ふとんをカケル,掛ける
学習漢字ノート中１,p3,英単語をオボエル,覚える
学習漢字ノート中１,p3,犬の絵をカク,描く
学習漢字ノート中１,p3,桜ナミキが続く,並木
学習漢字ノート中１,p3,シタシイ友人,親しい
学習漢字ノート中１,p3,景色をナガメル,眺める
学習漢字ノート中１,p3,仕事にナレル,慣れる
学習漢字ノート中１,p3,シンセンな果物,新鮮
学習漢字ノート中１,p3,ビジュツ館に行く,美術
学習漢字ノート中１,p3,勉強をハジメル,始める
学習漢字ノート中１,p3,水分をスイ取る,吸い
学習漢字ノート中１,p3,すみにヨセル,寄せる
学習漢字ノート中１,p3,そよ風がフク,吹く
学習漢字ノート中１,p3,スープの味がウスイ,薄い
学習漢字ノート中１,p3,満月がカガヤク,輝く
学習漢字ノート中１,p3,公園をサンポする,散歩
学習漢字ノート中１,p3,川にソッテ走る,沿って
学習漢字ノート中１,p3,アタリを見わたす,辺り
学習漢字ノート中１,p3,マエガミをのばす,前髪
学習漢字ノート中１,p3,ダイタンな色使い,大胆
学習漢字ノート中１,p3,目にウツル風景,映る
学習漢字ノート中１,p3,作業をジッサイに行う,実際
学習漢字ノート中１,p3,ソウゾウ上の動物,想像
学習漢字ノート中１,p3,小道をヌケル,抜ける
学習漢字ノート中１,p5,シキサイが鮮やかだ,色彩
学習漢字ノート中１,p5,喜びで胸がオドル,躍る
学習漢字ノート中１,p5,フシギな感覚,不思議
学習漢字ノート中１,p5,後ろをフリ返る,振り
学習漢字ノート中１,p5,学校をソツギョウする,卒業
学習漢字ノート中１,p5,ドアがシマル,閉まる
学習漢字ノート中１,p5,ライトでテラス,照らす
学習漢字ノート中１,p5,全員ハイチにつく,配置
学習漢字ノート中１,p5,植物をブンルイする,分類
学習漢字ノート中１,p5,ギロンを続ける,議論
学習漢字ノート中１,p5,情報をテイキョウする,提供
学習漢字ノート中１,p5,出発のジコクだ,時刻
学習漢字ノート中１,p5,コウリツのよい方法,効率
学習漢字ノート中１,p5,キテキを鳴らす,汽笛
学習漢字ノート中１,p5,カイゴ士になる,介護
学習漢字ノート中１,p5,キカクを練る,企画
学習漢字ノート中１,p5,ミジュクな考え方だ,未熟
学習漢字ノート中１,p5,ケンチョウで働く,県庁
学習漢字ノート中１,p5,ヒロウが激しい,疲労
学習漢字ノート中１,p5,クチグセを直す,口癖
学習漢字ノート中１,p5,理想をツイキュウする,追及
学習漢字ノート中１,p5,山をコエル,越える
学習漢字ノート中１,p5,定員をコエル,超える
学習漢字ノート中１,p5,ゾウエン業を営む,造園
学習漢字ノート中１,p5,校庭をカイホウする,開放
学習漢字ノート中１,p7,国語ジテンを引く,辞典
学習漢字ノート中１,p7,よくニタ兄弟,似た
学習漢字ノート中１,p7,元のジョウタイにもどす,状態
学習漢字ノート中１,p7,機械を取りアツカウ,扱う
学習漢字ノート中１,p7,事実とコトナル,異なる
学習漢字ノート中１,p7,作品がカンセイする,完成
学習漢字ノート中１,p7,人生のキロに立つ,岐路
学習漢字ノート中１,p7,全員キリツする,起立
学習漢字ノート中１,p7,ジンゾウを検査する,腎臓
学習漢字ノート中１,p7,コウソウビルが建つ,高層
学習漢字ノート中１,p7,カンゲンガクの演奏,管弦楽
学習漢字ノート中１,p7,ガンコな性格,頑固
学習漢字ノート中１,p7,ガラスのハヘン,破片
学習漢字ノート中１,p7,フクソウを整える,服装
学習漢字ノート中１,p7,エリモトを開ける,襟元
学習漢字ノート中１,p7,テブクロをはめる,手袋
学習漢字ノート中１,p7,ヒョウザンの一角,氷山
学習漢字ノート中１,p7,大気オセンが進む,汚染
学習漢字ノート中１,p7,国家はアンタイだ,安泰
学習漢字ノート中１,p7,キョウジュンをちかう,恭順
学習漢字ノート中１,p7,クノウがにじむ,苦悩
学習漢字ノート中１,p7,ケンメイに走る,懸命
学習漢字ノート中１,p7,アンコクの宇宙,暗黒
学習漢字ノート中１,p7,明けのミョウジョウ,明星
学習漢字ノート中１,p7,ケイカンを保全する,景観
学習漢字ノート中１,p9,エイガの試写会,映画
学習漢字ノート中１,p9,ゲキジョウに招待する,劇場
学習漢字ノート中１,p9,ザセキが決まる,座席
学習漢字ノート中１,p9,トウジツケンを買う,当日券
学習漢字ノート中１,p9,近代文学のケッサク,傑作
学習漢字ノート中１,p9,スミヤカな対応,速やか
学習漢字ノート中１,p9,ガクフを読む,楽譜
学習漢字ノート中１,p9,エンピツで書く,鉛筆
学習漢字ノート中１,p9,大げさなエンギ,演技
学習漢字ノート中１,p9,熱心にケイコする,稽古
学習漢字ノート中１,p9,若者がツドウ,集う
学習漢字ノート中１,p9,ドウヨウを歌う,童謡
学習漢字ノート中１,p9,表情がヤワラグ,和らぐ
学習漢字ノート中１,p9,モッパラのうわさが,専ら
学習漢字ノート中１,p9,トウゲイを習う,陶芸
学習漢字ノート中１,p9,コトの体験教室,琴
学習漢字ノート中１,p9,ピアノのネイロ,音色
学習漢字ノート中１,p9,心がナゴム,和む
学習漢字ノート中１,p9,足首をネンザする,捻挫
学習漢字ノート中１,p9,全身をダボクする,打撲
学習漢字ノート中１,p9,要求をキョヒする,拒否
学習漢字ノート中１,p9,イッカツで買う,一括
学習漢字ノート中１,p9,健康をイジする,維持
学習漢字ノート中１,p9,経度とイド,緯度
学習漢字ノート中１,p9,ボウセキ業を営む,紡績
学習漢字ノート中１,p11,シュルイが多い,種類
学習漢字ノート中１,p11,ヒマワリのクキ,茎
学習漢字ノート中１,p11,消化キカンの働き,器官
学習漢字ノート中１,p11,タトエバの話だ,例えば
学習漢字ノート中１,p11,フダン通りに過ごす,普段
学習漢字ノート中１,p11,タンジュンな作業,単純
学習漢字ノート中１,p11,ギモンを持つ,疑問
学習漢字ノート中１,p11,春にメが出る,芽
学習漢字ノート中１,p11,アサガオのフタバ,双葉
学習漢字ノート中１,p11,背がノビル,伸びる
学習漢字ノート中１,p11,チームのジクとなる,軸
学習漢字ノート中１,p11,車輪のアトがつく,跡
学習漢字ノート中１,p11,座席がアク,空く
学習漢字ノート中１,p11,大きさがチガウ,違う
学習漢字ノート中１,p11,トクチョウを挙げる,特徴
学習漢字ノート中１,p11,水分をキュウシュウする,吸収
学習漢字ノート中１,p11,トウブンが多い,糖分
学習漢字ノート中１,p11,エイヨウのバランス,栄養
学習漢字ノート中１,p11,ヤクワリをもつ,役割
学習漢字ノート中１,p11,カライ味付け,辛い
学習漢字ノート中１,p11,水かさがマス,増す
学習漢字ノート中１,p11,生活のチエ,知恵
学習漢字ノート中１,p11,ホウフな経験,豊富
学習漢字ノート中１,p11,桜がサク,咲く
学習漢字ノート中１,p11,対応にコマル,困る
学習漢字ノート中１,p13,実力をタクワエル,蓄える
学習漢字ノート中１,p13,サイボウの構造,細胞
学習漢字ノート中１,p13,家屋をハカイする,破壊
