古文,現代語訳
たまふ（給ふ・賜ふ）,くださる／下賜なさる ／ ～なさる／お～になる ／ ～ていただく／～ます／～です
あり（有り・在り）,存在する／いる／ある ／ 生きる／過ごす／住む ／ ～である／～ている
みる（見る）,結婚する／交際する ／ 見る／理解する／判断する ／ 世話をする／面倒をみる
きこゆ（聞こゆ）,申し上げる／手紙を差し上げる ／ 聞こえる／うわさされる ／ 理解できる／わかる ／ お～申し上げる
おぼす（思す）,お思いになる ／ ご寵愛なさる
さり（然り）,そうだ／そのようだ
はべり（侍り）,お仕えする／お側に控える／伺候する ／ ～です／～ます／～でございます ／ ございます／あります／います
まゐる（参る）,参上する／参内する／参詣する ／ さし上げる ／ 召し上がる ／ ～てさし上げる／お～申し上げる
おぼゆ（思ゆ）,（自然と）思われる／思い出される ／ 似る／面影がある
あふ（逢ふ・合ふ・敢ふ）,結婚する／出会う／めぐり会う ／ つり合う ／ 我慢する ／ 完全に～しきる／無理に～する
おはす（御座す）,いらっしゃる／おいでになる／お出かけになる ／ お～になる／～ていらっしゃる
ものす（物す）,ある／いる ／ 行く／来る ／ 書く／言う ／ ～である ／ する ／ 生まれる
さぶらふ・さうらふ（候ふ・侍ふ）,お仕えする／お側に控える／伺候する ／ ございます／あります／います ／ ～です／～ます／～でございます
わたる（渡る）,通る／行く／来る ／ ある／～である ／ 通じる／過ごす ／ ずっと～し続ける／一面に～する
ゐる（居る・率る）,すわる／いる／住む ／ 遅れる／伴う ／ （位に）つく／～ている
しのぶ（忍ぶ・偲ぶ）,我慢する／こらえる／耐える ／ 懐かしく思う ／ 秘密にする／隠れる／隠す
たてまつる・たいまつる（奉る）,さし上げる ／ お～申し上げる ／ お召しになる／召し上がる／お乗りになる ／ 参上させる ／ さし上げさせる
やむ（止む・已む・罷む）,終わる／止まる／中止になる ／ （病気などが）治る／癒える ／ やめる／終える（病気などを）治す
もてなす（もて成す）,取り計らう／取り扱う ／ もてはやす ／ 振る舞う
あく（飽く・厭く）,十分満足する ／ 飽きる／嫌になる
たのむ（頼む）,あてにする／期待する／頼りにする ／ あてにさせる／期待させる
をかし,興趣がある／興味深い ／ 美しい／愛らしい／すばらしい ／ 風情がある／趣がある ／ 滑稽だ／おかしい
いみじ,はなはだしい／ひどい ／ すばらしい／立派だ ／ たいそう／非常に
いたし（甚し・痛し）,はなはだしい／ひどい／たいそう ／ すばらしい ／ たいして／それほど ／ 苦痛だ
あやし（怪し・賤し）,不思議だ／異常だ／不都合だ ／ （身分が）卑しい／みすぼらしい／粗末だ
うし（憂し）,つらい／嫌だ ／ つれない／無情だ
かなし（愛し・悲し・哀し）,かわいい／いとしい ／ 心ひかれる ／ 哀しい／気の毒だ／不憫だ
めでたし（愛でたし）,すばらしい／見事だ／幸運だ ／ 祝うべきだ／喜ばしい
はかなし（果敢無し）,頼りない／心細い／あてにならない／無常だ／無益だ ／ ちょっとした／つまらない
いとほし,かわいそうだ／気の毒だ ／ かわいい／いとしい
くちをし（口惜し）,残念だ／がっかりだ／くやしい ／ つまらない／情けない／もの足りない ／ 卑しい／（身分が）言うに足りない
かしこし（畏し・恐し・賢し）,恐れ多い／恐ろしい ／ 高貴だ／尊い ／ 賢明だ／すぐれている
あさまじ（浅まし）,驚きあきれるほどだ／意外だ ／ 嘆かわしい／興ざめだ／がっかりだ
こころぐるし（心苦し）,つらい／切ない ／ 気の毒だ／気がかりだ
ことなり（異なり・殊なり）,他と違っている ／ 格別だ／特にすぐれている
いなり（如何なり）,どうだ／どのようだ／どんなだ／どんなわけだ
なかなかになり（中中なり）,中途半端だ／どっちつかずだ ／ かえって／なまじっか／かえって（し）ない方がよい ／ ずいぶん／かなり
こと（言・事）,言葉／評判／和歌 ／ 事柄／事態／こと／仕事／事情／わけ
こころ（心）,気持ち／感情／精神 ／ 思慮／情趣／情愛 ／ 意味／わけ／趣向 ／ 本質／中心／真ん中 ／ 考え／意志／意向
よ（世・代）,現世／俗世／世間／世の中／この世 ／ 夫婦の仲／男女の仲 ／ 年齢／生涯／時代 ／ 天皇や統治者の在位
かた（方・形・潟）,方法／方向／場所／方面／時節 ／ 形／絵／模様／しるし ／ 潮干潟／入江
やう（様）,様子／状態／姿／形 ／ 理由／事情／手段／方法 ／ ～こと／～もの ／ 様式／決まり
けしき（気色）,様子／有様／情景／表情／顔色 ／ 趣／情趣 ／ 機嫌／寵愛 ／ 兆候／きざし
うへ（上）,天皇／主人／殿 ／ 天皇の部屋／御殿／宮中 ／ 貴婦人の敬称／奥方 ／ その上／加えて／段階／状態／身の上 ／ 上部／高い所／表面 ／ 貴人のそば／御前
れい（例）,いつも／通例／普通／先例
みち（道）,道理／政道／筋道／秩序 ／ 手段／方法 ／ 仏道／神仏の教え ／ （学問／芸道などの）方面 ／ 道路／通路／途中／道中
ふみ（文）,書物／文献／文書 ／ 手紙 ／ 漢詩文／学問
いろ（色）,顔色／表情 ／ 風流／情趣／美しさ ／ 恋愛／情事 ／ 色彩／色
て（手）,筆跡／技量／文字／書風 ／ 手段／方法 ／ 手傷／負傷 ／ 手／手のひら／手首
よろづ（万）,すべて／様ざま ／ 何事につけて／すべて
としごろ（年比・年頃・年来）,長年／数年来／長い間
おと（音）,便り／うわさ／音沙汰／音信 ／ 音／声／響き
つゆ（露）,わずか（なもの）／はかないもの ／ 少しも／全く ／ 露／涙
かたち（形・容貌）,容貌／容姿 ／ 姿／形／形態 ／ 美人／美貌
よし（由）,由緒／理由／方法／手段／趣／趣味／様子 ／ ～こと／旨
