No.,問題,解答
1,～に答えるの過去形を答えよ,answered
2,着く、到着するの過去形を答えよ,arrived
3,～を尋ねる、聞くの過去形を答えよ,asked
4,～を…と呼ぶの過去形を答えよ,called
5,～を運ぶの過去形を答えよ,carried
6,～をきれいにするの過去形を答えよ,cleaned
7,～を閉める、閉まるの過去形を答えよ,closed
8,（～を）料理するの過去形を答えよ,cooked
9,泣くの過去形を答えよ,cried
10,～を楽しむの過去形を答えよ,enjoyed
11,～を終えるの過去形を答えよ,finished
12,～を手伝うの過去形を答えよ,helped
13,～を望むの過去形を答えよ,hoped
14,～を紹介するの過去形を答えよ,introduced
15,～を招待するの過去形を答えよ,invited
16,～を学ぶの過去形を答えよ,learned
17,～が好きの過去形を答えよ,liked
18,～を聞く（意識的に）の過去形を答えよ,listened
19,住んでいるの過去形を答えよ,lived
20,（…に）見えるの過去形を答えよ,looked
21,～を必要とするの過去形を答えよ,needed
22,～を開けるの過去形を答えよ,opened
23,（スポーツなど）をするの過去形を答えよ,played
24,～を覚えているの過去形を答えよ,remembered
25,ほほ笑むの過去形を答えよ,smiled
26,～を始める、始まるの過去形を答えよ,started
27,滞在するの過去形を答えよ,stayed
28,～をやめるの過去形を答えよ,stopped
29,～を勉強するの過去形を答えよ,studied
30,話す、しゃべるの過去形を答えよ,talked
31,～を試す、試みるの過去形を答えよ,tried
32,～を回すの過去形を答えよ,turned
33,～を使うの過去形を答えよ,used
34,～を訪れるの過去形を答えよ,visited
35,待つの過去形を答えよ,waited
36,歩くの過去形を答えよ,walked
37,～が欲しいの過去形を答えよ,wanted
38,～を洗うの過去形を答えよ,washed
39,～を見るの過去形を答えよ,watched
40,働くの過去形を答えよ,worked
41,～を心配するの過去形を答えよ,worried
42,～である、いるの過去形を答えよ,was/were
43,～になるの過去形を答えよ,became
44,始まるの過去形を答えよ,began
45,～を壊すの過去形を答えよ,broke
46,～を持って来るの過去形を答えよ,brought
47,～を建てるの過去形を答えよ,built
48,～を買うの過去形を答えよ,bought
49,～をつかむの過去形を答えよ,caught
50,来るの過去形を答えよ,came
51,～を切るの過去形を答えよ,cut
52,～をするの過去形を答えよ,did
53,～を描くの過去形を答えよ,drew
54,～を飲むの過去形を答えよ,drank
55,～を運転するの過去形を答えよ,drove
56,～を食べるの過去形を答えよ,ate
57,落ちるの過去形を答えよ,fell
58,～と感じるの過去形を答えよ,felt
59,～を見つけるの過去形を答えよ,found
60,飛ぶの過去形を答えよ,flew
61,～を忘れるの過去形を答えよ,forgot
62,～を得るの過去形を答えよ,got
63,～を与えるの過去形を答えよ,gave
64,行くの過去形を答えよ,went
65,成長するの過去形を答えよ,grew
66,～を持っているの過去形を答えよ,had
67,～を聞く（自然と）の過去形を答えよ,heard
68,～を保つの過去形を答えよ,kept
69,～を知っているの過去形を答えよ,knew
70,去る、出発するの過去形を答えよ,left
71,～を貸すの過去形を答えよ,lent
72,～を失うの過去形を答えよ,lost
73,～を作るの過去形を答えよ,made
74,～を意味するの過去形を答えよ,meant
75,～と会うの過去形を答えよ,met
76,～を置くの過去形を答えよ,put
77,～を読むの過去形を答えよ,read
78,～に乗るの過去形を答えよ,rode
79,上がるの過去形を答えよ,rose
80,走るの過去形を答えよ,ran
81,～と言うの過去形を答えよ,said
82,～を見るの過去形を答えよ,saw
83,～を売るの過去形を答えよ,sold
84,～を送るの過去形を答えよ,sent
85,～を見せるの過去形を答えよ,showed
86,歌うの過去形を答えよ,sang
87,座るの過去形を答えよ,sat
88,眠るの過去形を答えよ,slept
89,話すの過去形を答えよ,spoke
90,～を過ごす、費やすの過去形を答えよ,spent
91,立ち上がるの過去形を答えよ,stood
92,泳ぐの過去形を答えよ,swam
93,～を取るの過去形を答えよ,took
94,～を教えるの過去形を答えよ,taught
95,～を言うの過去形を答えよ,told
96,～と思うの過去形を答えよ,thought
97,～を投げるの過去形を答えよ,threw
98,～を理解するの過去形を答えよ,understood
99,～を書くの過去形を答えよ,wrote
100,～に答えるの過去分詞形を答えよ,answered
101,着く、到着するの過去分詞形を答えよ,arrived
102,～を尋ねる、聞くの過去分詞形を答えよ,asked
103,～を…と呼ぶの過去分詞形を答えよ,called
104,～を運ぶの過去分詞形を答えよ,carried
105,～をきれいにするの過去分詞形を答えよ,cleaned
106,～を閉める、閉まるの過去分詞形を答えよ,closed
107,（～を）料理するの過去分詞形を答えよ,cooked
108,泣くの過去分詞形を答えよ,cried
109,～を楽しむの過去分詞形を答えよ,enjoyed
110,～を終えるの過去分詞形を答えよ,finished
111,～を手伝うの過去分詞形を答えよ,helped
112,～を望むの過去分詞形を答えよ,hoped
113,～を紹介するの過去分詞形を答えよ,introduced
114,～を招待するの過去分詞形を答えよ,invited
115,～を学ぶの過去分詞形を答えよ,learned
116,～が好きの過去分詞形を答えよ,liked
117,～を聞く（意識的に）の過去分詞形を答えよ,listened
118,住んでいるの過去分詞形を答えよ,lived
119,（…に）見えるの過去分詞形を答えよ,looked
120,～を必要とするの過去分詞形を答えよ,needed
121,～を開けるの過去分詞形を答えよ,opened
122,（スポーツなど）をするの過去分詞形を答えよ,played
123,～を覚えているの過去分詞形を答えよ,remembered
124,ほほ笑むの過去分詞形を答えよ,smiled
125,～を始める、始まるの過去分詞形を答えよ,started
126,滞在するの過去分詞形を答えよ,stayed
127,～をやめるの過去分詞形を答えよ,stopped
128,～を勉強するの過去分詞形を答えよ,studied
129,話す、しゃべるの過去分詞形を答えよ,talked
130,～を試す、試みるの過去分詞形を答えよ,tried
131,～を回すの過去分詞形を答えよ,turned
132,～を使うの過去分詞形を答えよ,used
133,～を訪れるの過去分詞形を答えよ,visited
134,待つの過去分詞形を答えよ,waited
135,歩くの過去分詞形を答えよ,walked
136,～が欲しいの過去分詞形を答えよ,wanted
137,～を洗うの過去分詞形を答えよ,washed
138,～を見るの過去分詞形を答えよ,watched
139,働くの過去分詞形を答えよ,worked
140,～を心配するの過去分詞形を答えよ,worried
141,～である、いるの過去分詞形を答えよ,been
142,～になるの過去分詞形を答えよ,become
143,始まるの過去分詞形を答えよ,begun
144,～を壊すの過去分詞形を答えよ,broken
145,～を持って来るの過去分詞形を答えよ,brought
146,～を建てるの過去分詞形を答えよ,built
