No.,英単語,日本語,Unit
1,time,時間、回（度）、時期,Unit１
2,card,カード、紙片、トランプ,Unit１
3,fire,火、炎、火事、射撃、発射、～を発射する、撃つ、～を解雇する,Unit１
4,culture,文化,Unit１
5,country,国、土地、田舎,Unit１
6,way,道、方法、方向,Unit１
7,people,人々、国民,Unit１
8,wood,木、木材、（しばしば～s）森,Unit１
9,movie,映画,Unit１
10,letter,手紙、文字,Unit１
11,class,クラス、学級、授業、講義,Unit１
12,student,学生、研究者,Unit１
13,friend,友達、仲間,Unit１
14,group,グループ、団体、（人・物の）群れ、一団,Unit１
15,ability,能力、力、才能、手腕,Unit１
16,word,単語、語、発言,Unit１
17,dictionary,辞書、辞典,Unit１
18,library,図書館、図書室、書庫,Unit１
19,college,単科大学、カレッジ、（総合大学の）学部,Unit１
20,future,将来、未来,Unit１
21,mail,郵便物、メール（Eメール）,Unit１
22,place,場所,Unit１
23,ticket,切符、券、チケット,Unit１
24,stamp,切手、収入印紙、刻印,Unit１
25,thing,もの、こと,Unit１
26,airport,空港,Unit１
27,money,金、金銭、貨幣,Unit１
28,gift,贈り物、天賦の才能,Unit１
29,company,会社、仲間、友人,Unit１
30,story,物語、話、（小説などの）筋、ストーリー、構想,Unit１
31,paper,紙、研究論文、（～ｓ）書類,Unit１
32,oil,油、油脂、石油,Unit１
33,voice,声、音声,Unit１
34,key,鍵、キー、手掛かり、秘訣、（楽器の）けん盤,Unit１
35,party,パーティー、宴会、政党、一団、一行,Unit１
36,air,空気、大気、（the～）空間、空中、～を空気にさらす、～公表する,Unit１
37,doctor,医者、意思、博士、博士号,Unit１
38,end,終わり、最後、先端、～を終える、終わる,Unit１
39,base,基盤、基部、土台、基礎、下地,Unit１
40,rock,岩、岩石、揺れ動く、～揺り動かす,Unit１
41,light,光、光線、（a～）火、火花,Unit１
42,forest,森林（地帯）,Unit１
43,game,（楽しみのための）ゲーム、遊び、試合、競技,Unit１
44,war,戦争、争い,Unit１
45,left,（the～）左、左側、左方の、左側の,Unit１
46,lady,夫人、女性、淑女,Unit１
47,gentleman,紳士、（呼びかけで）皆さん、諸君,Unit１
48,wing,翼、羽根,Unit１
49,line,線、境界線、配線,Unit１
50,ice,氷,Unit１
51,do,～をする、行う、行動する、活動する、仕事する,Unit１
52,go,（～へ）行く（to～）,Unit１
53,come,（～から）くる（from～）、（～へ）行く（to～）,Unit１
54,have,～を持っている、持つ、（食事）を取る,Unit１
55,tell,（…に）～を話す、知らせる、言う（to…）、話す、説明する,Unit１
56,meet,～と会う、落ち合う、～を出迎える,Unit１
57,cut,～を切る、切り取る、切り傷,Unit１
58,get,～を手に入れる、買う、～を受け取る、～をもらう,Unit１
59,give,～をあげる、与える,Unit１
60,meke,～を作る,Unit１
61,take,～を連れていく、～に乗る、（バス・列車など）を使う、～を取る,Unit１
62,look,（～を）見る（at～）、（～を）探す（for～）,Unit１
63,like,～が好きである、～を好む,Unit１
64,live,（～に）住む、（ある場所で）育つ（in～）、生きる,Unit１
65,read,～を読む,Unit１
66,write,～を書く、手紙を書く,Unit１
67,open,～を開ける、（ページや本）を開く、開いた、開いている,Unit１
68,run,走る、逃げる、～を経営する、（機械などが）動く,Unit１
69,work,働く、仕事をする、勉強する、努力する、仕事（しばしば～ｓ）作品,Unit１
70,sit,座る、腰掛ける,Unit１
71,all,すべての、全部の、全体にわたって,Unit１
72,big,大きい、大規模な、重大な,Unit１
73,good,良い、優れた、適した、役立つ,Unit１
74,old,古い、古びた、年取った、年老いた,Unit１
75,many,多くの、たくさんの,Unit１
76,sad,悲しい、ひどい、不幸,Unit１
